Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
2,1,0,1,3,0,0,0,163,3,8194,3,6,21,21,14,2,3,13,4790
1,1,0,3,2,0,3,0,213,2,5074,0,7,3,44,8,0,5,11,4622
1,1,0,3,0,0,4,0,150,0,8922,3,4,23,49,12,2,11,11,7033
3,1,2,3,1,0,2,1,182,3,2791,2,5,6,41,8,0,14,13,3326
0,0,3,1,1,0,0,0,259,0,6207,1,7,16,3,6,2,5,11,2929
0,1,3,2,2,0,4,2,96,0,1614,0,1,3,18,8,2,6,0,1952
0,0,2,1,0,0,1,0,187,2,5175,3,6,6,44,13,2,1,11,1650
2,0,1,0,0,0,2,0,132,2,5738,2,3,20,20,23,1,8,11,2240
2,0,2,3,0,0,2,2,141,2,8317,2,6,12,45,9,1,10,4,3238
3,0,3,0,0,0,3,1,296,0,1060,2,1,6,47,10,0,15,14,2376
0,1,2,0,2,0,2,1,108,1,5074,3,1,11,19,7,2,12,9,1818
2,1,0,2,0,0,1,2,60,0,1518,0,2,20,28,14,1,13,10,2458
0,1,0,3,3,0,2,2,212,2,2801,1,7,21,30,13,1,12,7,2738
2,1,1,1,3,0,0,1,69,0,8272,1,4,17,39,21,1,12,8,4981
0,0,1,3,2,0,1,1,294,1,9740,1,2,1,22,4,0,5,2,1041
3,1,3,3,2,0,4,0,185,0,4579,3,6,5,2,1,2,0,15,2839
0,0,1,3,0,0,4,1,292,1,6734,3,6,17,43,15,0,1,15,4102
3,0,3,2,1,0,2,1,134,2,2226,0,3,18,50,19,2,10,10,1807
3,1,2,0,0,0,2,2,265,2,414,2,4,8,28,20,2,14,9,1715
3,0,3,2,1,0,2,1,102,2,6926,3,2,12,41,11,2,4,9,1939
0,1,2,2,2,0,0,2,228,2,8003,0,7,18,24,5,2,12,13,4299
2,0,3,2,1,0,2,1,196,2,5308,1,5,10,18,14,2,14,4,2297
3,1,0,0,0,0,0,1,227,0,6512,3,1,21,49,19,1,5,6,4048
3,1,3,2,0,0,1,1,219,2,6840,1,7,15,24,7,0,4,2,1966
2,1,0,0,0,0,0,0,133,3,3371,3,6,3,43,12,1,3,15,3934
0,1,0,2,3,0,4,0,183,1,8669,3,5,10,31,17,1,13,9,4684
1,1,0,2,1,0,4,1,241,3,4501,0,1,3,25,3,2,6,10,4878
0,1,2,2,3,0,2,0,261,1,7084,3,6,19,18,23,1,10,13,2398
0,0,0,2,0,0,2,1,217,3,2258,2,4,11,22,1,2,8,2,2717
1,0,2,0,1,0,2,1,155,2,8070,3,1,20,34,21,0,4,0,2671
3,1,2,0,2,0,3,0,151,3,5123,1,1,2,18,14,2,13,13,3566
3,1,3,0,2,0,4,0,168,0,7584,1,5,15,48,23,2,4,15,4851
3,1,1,2,0,0,3,1,95,2,3287,2,7,14,39,23,0,15,15,3073
2,1,3,2,2,0,1,2,104,0,520,3,3,17,36,17,1,13,5,2214
2,0,0,0,1,0,4,0,221,2,353,0,3,1,13,19,1,12,7,1469
0,0,3,1,2,0,1,1,185,1,1059,2,6,19,29,5,0,11,10,1308
1,1,3,2,2,0,1,1,290,1,1454,0,1,10,19,9,2,13,15,1386
3,0,3,1,3,0,0,0,60,3,42,1,3,1,29,1,0,6,4,1912
1,0,2,1,2,0,1,1,225,0,4955,0,5,2,0,3,0,6,6,1828
1,1,0,0,0,0,3,2,65,0,2430,1,4,12,19,8,0,9,9,3340
0,0,2,2,3,0,0,2,85,0,5608,1,4,1,6,16,2,14,1,2859
1,1,1,1,1,0,2,2,79,3,2583,3,5,19,17,6,2,2,10,3074
0,0,3,3,2,0,1,2,120,3,115,2,2,11,49,17,0,12,15,2509
1,1,2,2,3,0,3,2,271,2,8169,1,6,21,7,21,2,7,11,4550
2,1,2,0,3,0,1,0,109,3,3363,1,6,17,22,20,2,13,6,2971
1,1,3,1,0,0,4,0,87,3,9096,2,2,11,43,4,1,4,12,7226
3,0,0,0,0,0,0,0,88,3,8948,3,1,16,5,3,2,5,6,3495
1,1,2,3,3,0,4,2,246,3,9739,0,1,5,21,21,0,6,14,7337
1,0,0,2,0,0,0,1,97,2,1212,0,1,17,35,14,0,6,8,2097
1,0,3,0,0,0,3,0,121,1,7011,3,2,22,27,1,1,9,6,3131
1,0,0,0,2,0,1,1,202,0,7892,2,3,4,49,10,0,7,7,2349
1,1,0,0,2,0,1,1,107,2,2434,3,5,19,39,20,1,9,12,2057
1,0,3,0,1,0,1,1,132,3,8052,0,1,19,17,6,2,14,12,2415
2,0,2,0,0,0,0,1,222,0,740,2,1,13,36,23,1,1,15,2405
2,1,3,2,1,0,3,1,286,2,3370,1,2,8,12,16,0,9,11,2457
2,0,0,1,3,0,4,2,133,1,1041,1,2,4,50,6,1,9,5,1780
3,1,2,2,0,0,1,1,82,1,8941,2,4,17,26,16,0,9,7,1510
1,0,3,2,1,0,4,0,156,0,8541,3,4,22,5,13,1,8,13,4506
2,1,1,1,3,0,4,1,259,3,1904,0,4,24,26,1,0,9,15,4171
3,0,1,0,0,0,1,2,76,0,6819,1,4,11,48,9,2,15,1,2207
0,0,0,1,0,0,3,2,91,1,6673,1,4,18,8,12,0,9,13,2679
1,0,3,2,1,0,0,1,257,2,1589,2,7,15,22,0,1,0,6,1922
1,1,3,2,0,0,4,0,152,1,1047,1,7,21,27,1,0,11,7,2605
0,1,1,2,1,0,2,2,136,2,269,1,6,23,35,14,2,11,6,1605
3,1,1,1,0,0,4,0,148,2,8073,2,3,3,35,9,2,7,15,4185
2,0,3,1,3,0,4,2,296,0,6059,1,2,15,12,4,0,10,12,4078
3,0,3,3,0,0,2,0,73,0,7238,1,2,10,36,7,0,8,15,2589
0,1,2,2,1,0,2,0,160,2,7115,1,4,0,43,8,0,6,4,2515
2,0,2,1,3,0,1,1,270,3,8530,3,2,16,2,4,2,5,4,1948
0,0,3,3,1,0,2,2,122,1,8874,0,4,15,30,5,0,2,7,2435
3,0,1,3,1,0,1,1,294,1,8383,2,4,14,50,2,0,1,7,1484
3,1,3,3,2,0,2,0,231,3,4671,0,6,15,16,5,0,12,7,3571
3,1,0,1,0,0,1,1,158,3,3320,2,2,17,22,10,2,2,14,2599
2,0,3,0,1,0,3,0,73,0,185,0,1,0,15,18,1,1,1,1349
1,0,0,1,0,0,4,1,247,2,5642,3,3,9,29,14,2,8,2,3959
2,0,3,2,2,0,1,1,91,3,6428,2,1,9,44,11,2,6,12,2333
3,1,3,3,2,0,1,1,235,1,1927,0,2,11,41,14,1,9,0,1599
3,1,3,1,3,0,1,0,66,2,6181,0,7,10,19,12,2,5,0,1588
2,1,1,2,0,0,0,1,82,2,6441,1,3,8,21,15,0,12,7,3655
2,0,2,0,1,0,1,1,232,3,3002,3,3,7,27,10,0,1,10,2415
0,1,0,3,1,0,1,1,258,2,3175,0,1,5,18,6,1,0,9,1290
2,0,3,1,3,0,2,1,152,2,3754,3,6,3,6,22,1,0,4,1757
0,1,3,0,0,0,0,1,160,1,2635,1,1,11,15,22,0,0,12,2031
0,0,3,2,1,0,4,1,119,0,9933,0,3,12,24,5,0,9,1,4824
0,0,2,2,1,0,2,0,172,0,8869,2,6,23,0,23,2,6,7,2281
1,0,2,3,0,0,4,2,238,1,3468,3,4,16,10,18,2,3,10,2416
0,0,2,0,0,0,4,0,107,0,9759,0,6,12,18,19,2,12,4,5424
3,0,3,2,1,0,2,2,226,0,4222,2,5,23,40,6,2,0,12,2262
0,1,2,3,2,0,4,1,56,1,7598,2,6,4,12,19,0,15,2,4462
1,0,1,3,0,0,0,0,170,3,4136,3,2,14,50,18,0,5,4,4105
0,1,0,1,0,0,1,1,80,1,1388,1,4,7,19,7,1,0,2,1471
3,1,1,1,1,0,3,2,95,1,4917,1,7,0,45,9,0,6,9,2634
3,0,2,3,0,0,0,1,213,0,3038,1,7,3,4,14,0,10,1,2541
0,1,3,0,3,0,4,0,298,2,1657,0,2,20,50,8,0,13,15,2431
0,0,3,3,0,0,4,0,95,3,2439,3,3,4,9,1,0,10,2,2799
0,1,1,1,3,0,0,0,295,0,9151,3,7,2,33,23,2,2,2,4359
2,1,2,1,2,0,3,0,132,2,1197,1,6,13,11,3,0,11,9,1890
2,0,3,3,0,0,3,0,121,2,1526,3,2,15,4,9,2,10,0,1373
1,1,0,0,0,0,1,0,89,1,4621,2,4,22,46,1,1,1,5,2029
2,1,1,2,1,0,3,2,175,3,3953,2,6,12,11,22,0,2,10,4064
2,1,1,3,2,0,1,0,213,2,2184,2,6,24,33,15,0,1,4,2218
0,0,3,2,2,0,0,1,115,3,1655,3,6,10,26,1,0,0,1,2500
0,1,1,1,2,0,0,1,294,3,5746,2,7,17,49,10,0,4,11,5098
3,0,0,0,3,0,2,1,112,3,1844,3,7,6,5,8,2,6,15,2011
1,0,0,1,1,0,3,0,243,2,8133,0,4,24,21,23,0,15,11,4372
2,0,2,2,2,0,4,1,170,0,6388,0,3,3,48,9,1,15,3,4605
2,1,1,1,1,0,0,0,151,0,4861,1,6,16,24,3,1,12,3,3459
3,0,3,0,3,0,1,2,220,2,1098,2,6,18,26,6,2,10,5,1352
3,1,1,2,2,0,0,0,287,2,8031,0,1,16,29,15,0,9,7,3340
3,1,2,1,1,0,3,0,254,3,3597,1,6,22,5,6,2,6,10,2906
1,0,1,3,1,0,4,0,114,3,2019,3,5,3,27,0,2,8,12,2624
0,1,3,3,0,0,1,0,118,2,4880,3,1,8,24,9,0,15,5,1513
1,0,2,3,1,0,3,2,262,0,6691,0,5,21,33,16,2,6,13,4065
3,0,2,0,3,0,3,0,74,1,2411,0,7,6,49,18,1,1,0,2292
2,1,2,3,3,0,1,0,116,1,5689,0,7,11,45,6,1,0,6,2253
1,1,2,0,3,0,1,0,217,2,625,0,1,16,25,19,1,10,5,1605
0,0,0,1,0,0,1,1,88,2,3102,0,3,3,19,14,0,0,3,1637
0,0,2,1,3,0,3,0,88,1,8769,0,2,3,29,0,0,15,8,3406
3,1,3,0,3,0,0,0,266,2,8909,0,4,24,1,14,2,2,0,3272
1,1,3,1,3,0,4,2,294,3,1999,0,3,18,44,12,1,4,10,4741
0,1,1,2,1,0,0,1,65,1,3215,3,6,4,7,12,1,10,1,1636
3,0,1,2,2,0,4,1,149,2,7233,2,6,14,40,9,2,8,1,3764
0,0,2,1,1,0,0,0,183,2,1188,2,5,14,17,0,0,4,14,1102
2,0,0,1,3,0,3,1,119,0,9368,2,4,1,34,21,2,2,5,4656
2,1,2,1,3,0,2,2,144,0,7827,1,2,14,23,10,0,2,3,3630
1,1,1,1,2,0,3,0,159,3,1300,0,5,6,2,17,2,9,8,3423
0,1,3,0,2,0,2,2,261,0,8366,2,6,5,18,22,2,4,15,3287
1,1,0,0,0,0,0,2,149,2,9901,0,1,21,25,10,1,7,11,4765
3,0,0,1,2,0,3,1,50,1,9662,1,2,19,43,1,0,10,8,3314
2,0,1,0,1,0,1,2,116,0,4009,2,7,24,29,23,1,9,5,1937
0,0,2,2,2,0,1,0,117,0,3438,2,6,8,11,19,1,13,10,1669
3,1,2,2,0,0,4,0,280,0,343,1,1,8,36,15,0,12,8,2200
1,0,0,3,1,0,2,0,67,1,7585,2,5,23,26,12,0,5,2,2428
2,1,3,2,0,0,1,0,234,1,1762,2,7,1,29,8,1,8,7,1685
0,1,3,0,2,0,2,1,143,2,1952,1,2,3,15,14,1,7,14,1497
1,1,1,1,1,0,2,0,134,3,932,3,6,10,1,16,1,1,7,2669
2,0,3,2,3,0,2,0,97,3,2924,2,2,9,11,9,2,7,9,2423
0,1,2,3,3,0,0,2,275,1,1884,1,4,8,27,1,1,10,0,1886
1,1,1,2,3,0,3,0,164,0,7506,0,5,24,36,15,1,5,2,5533
1,1,3,0,2,0,1,0,65,2,2671,0,2,18,37,8,1,3,7,1487
3,0,3,3,1,0,0,2,112,2,2570,3,4,4,22,12,0,8,4,1283
3,1,0,1,0,0,2,1,298,2,3439,3,1,18,45,9,0,3,2,2464
3,1,1,0,3,0,2,0,74,0,4799,0,1,20,0,23,2,6,15,1732
2,0,0,0,1,0,1,1,136,2,8747,0,5,21,10,19,1,9,3,1511
0,1,2,2,2,0,1,2,164,3,71,2,5,22,31,8,2,1,3,2899
2,0,3,3,3,0,1,2,62,1,2289,1,7,18,11,17,0,5,2,1340
3,1,3,1,1,0,1,1,170,3,4630,1,5,19,22,1,2,14,8,2591
2,1,1,2,3,0,2,0,144,3,8182,1,1,6,8,15,1,10,6,4019
0,1,2,1,0,0,0,2,133,0,85,0,2,9,9,5,0,4,6,1789
3,0,0,3,3,0,4,1,151,2,54,1,7,6,4,21,0,7,6,1568
1,0,2,1,1,0,1,2,251,2,1552,3,1,24,46,24,2,5,0,1274
0,1,0,1,2,0,1,2,183,0,9489,3,5,22,1,9,1,4,5,1610
1,0,2,3,2,0,4,2,164,2,909,3,1,9,45,22,0,6,10,1819
2,1,0,2,3,0,1,2,189,0,3182,1,7,3,13,16,1,8,4,2612
0,1,3,1,3,0,4,2,72,2,837,1,4,6,22,3,0,12,3,1824
0,1,3,1,2,0,4,2,216,1,2317,0,3,14,11,16,1,15,2,2266
3,0,3,2,1,0,1,1,205,2,5898,2,3,13,43,5,2,0,1,1175
3,0,0,2,0,0,3,1,176,2,7691,0,1,9,5,3,2,15,7,3206
0,1,1,2,2,0,2,0,238,1,4881,1,7,19,5,21,0,0,10,2432
0,0,3,0,2,0,1,2,286,2,3010,1,7,7,48,12,2,2,13,1977
1,1,3,1,3,0,1,2,258,1,5119,2,5,20,26,19,2,11,6,1634
1,1,1,0,2,0,2,1,266,1,21,0,5,11,11,5,2,13,6,1888
0,0,1,0,0,0,1,1,243,2,1167,3,3,20,37,1,1,9,7,1508
3,0,0,2,0,0,2,2,144,3,6423,0,7,11,29,23,2,4,3,3919
1,0,2,0,3,0,4,2,129,1,3634,3,2,21,50,7,1,12,12,2881
2,0,1,3,0,0,4,2,76,1,6218,0,3,7,6,2,1,5,7,3197
0,0,0,2,0,0,3,0,101,3,7733,1,3,18,22,6,0,15,11,4462
3,1,1,1,0,0,4,1,70,2,3522,2,1,9,49,23,0,15,15,3102
3,1,0,1,0,0,3,1,237,0,9688,0,5,0,18,11,1,15,6,5224
3,1,1,1,1,0,4,2,256,2,6823,0,5,6,2,14,2,3,3,3721
3,1,0,2,0,0,0,0,227,2,5837,1,7,19,40,17,1,2,8,3906
0,0,3,3,3,0,2,0,204,2,2800,3,4,11,35,6,1,6,14,1362
0,1,1,0,0,0,2,2,262,0,1178,0,3,11,45,7,1,3,5,2761
2,0,1,0,3,0,2,0,169,0,2582,3,6,6,3,4,1,13,5,1855
2,0,2,1,1,0,4,0,64,3,3164,3,5,2,38,23,1,13,5,3364
1,1,2,0,3,0,3,2,90,0,8469,2,4,17,36,15,1,8,6,5035
1,0,0,3,0,0,3,0,72,3,3280,3,3,8,47,0,1,11,0,3696
1,0,0,3,1,0,0,2,111,1,609,3,5,14,19,13,1,14,7,1250
2,0,2,3,3,0,0,0,210,0,8766,1,1,22,14,23,0,14,3,3987
3,0,1,2,0,0,2,1,129,3,3892,3,4,19,48,24,1,1,1,3475
3,1,3,2,3,0,0,0,265,0,4135,0,7,3,41,4,0,3,13,3589
0,1,1,1,0,0,4,2,297,0,4690,1,5,23,23,22,2,7,5,4105
1,1,2,1,3,0,1,2,172,3,2419,0,7,20,3,13,1,11,9,3342
3,1,2,0,1,0,1,2,183,0,5544,3,4,24,19,12,2,7,11,1333
0,0,3,2,1,0,4,1,245,3,1645,3,2,5,28,20,2,2,5,2618
1,1,1,0,2,0,1,2,77,3,9246,1,5,14,35,9,0,8,14,3420
2,0,0,0,3,0,1,1,181,1,7270,1,1,16,43,8,1,6,0,1244
3,0,0,1,2,0,2,2,187,1,4588,3,3,5,14,10,1,0,5,1525
1,1,3,1,0,0,2,2,202,3,7843,2,1,7,41,18,0,6,5,4682
3,0,2,0,2,0,3,2,89,1,9503,0,5,17,0,0,2,10,8,3087
2,1,1,0,1,0,1,0,276,3,2171,2,7,14,8,0,0,3,12,2474
0,1,2,0,3,0,0,1,56,0,1414,2,7,13,40,3,2,11,14,2441
3,1,1,2,3,0,1,0,164,1,4443,1,4,7,39,9,2,3,13,1358
3,0,0,0,3,0,3,1,146,3,1200,1,7,16,22,18,2,4,0,2777
0,0,2,1,1,0,2,1,143,3,1778,3,7,23,3,4,0,11,6,1926
0,0,0,2,1,0,3,0,65,1,2301,0,6,15,35,10,1,7,13,1825
3,0,1,1,1,0,2,0,290,0,583,3,5,13,42,22,2,13,2,1647
2,0,0,2,0,0,2,0,253,0,9663,0,3,11,49,9,0,2,0,3938
2,1,0,3,1,0,3,1,173,2,352,2,2,18,15,24,2,15,11,1691
1,1,3,3,3,0,3,2,84,0,4191,0,7,0,29,24,0,3,5,4492
3,0,1,2,0,0,0,0,82,2,831,1,2,6,23,18,0,9,14,1409
3,0,2,1,0,0,0,0,265,0,8311,1,2,8,19,17,0,2,9,3190
0,1,1,1,2,0,2,0,207,3,3424,2,7,19,36,2,0,2,14,3425
2,0,2,3,3,0,1,2,56,2,6873,1,2,0,33,14,2,3,15,1067
0,0,3,3,2,0,1,2,152,3,8676,2,2,2,18,5,0,14,14,2237
1,1,2,3,2,0,2,1,108,0,5284,2,2,18,39,21,2,14,0,3597
3,1,2,0,1,0,0,1,137,2,2988,3,5,10,11,3,2,11,4,1501
1,0,0,0,0,0,1,0,251,2,4999,0,5,3,1,0,1,7,13,1729
3,1,2,3,1,0,4,2,284,1,2236,2,3,4,50,22,0,15,7,2360
1,1,0,2,0,0,4,1,50,1,7386,0,1,19,35,2,2,2,0,5360
2,1,3,3,0,0,4,0,264,3,3374,1,6,13,13,1,0,12,4,5034
0,0,0,3,1,0,0,0,52,0,2035,2,7,19,17,13,0,13,13,1950
0,1,1,0,3,0,0,2,274,2,6365,2,2,0,3,23,0,6,11,2493
3,1,3,0,3,0,1,0,80,0,5795,2,2,24,44,18,0,5,2,1791
0,0,3,1,2,0,3,2,115,3,1116,3,7,23,3,20,1,14,15,2309
2,1,0,1,3,0,3,2,180,1,7507,2,1,2,50,17,1,2,1,3939
1,0,0,2,2,0,2,0,151,3,1370,3,4,23,44,8,1,15,4,3251
3,1,1,3,3,0,3,2,116,0,7450,0,2,21,42,12,2,10,1,4257
3,1,1,0,0,0,1,1,106,2,9086,3,4,0,27,22,1,4,13,1593
3,1,2,1,0,0,3,0,299,0,5652,1,3,13,33,17,1,10,12,3767
0,0,0,3,0,0,1,0,275,3,2098,0,3,15,10,9,0,7,4,2487
1,0,0,3,1,0,4,0,112,3,960,1,5,4,40,11,2,0,0,3147
2,0,0,2,0,0,4,1,118,2,2089,2,7,16,4,20,0,0,3,2577
3,1,3,0,3,0,2,1,66,0,504,0,4,20,27,20,0,4,11,2236
2,0,3,0,1,0,1,1,145,1,1519,3,7,7,38,23,1,8,3,1119
3,1,1,1,0,0,3,0,243,2,2369,1,2,5,12,19,1,7,3,1945
1,1,1,1,3,0,2,0,282,3,8524,3,4,18,35,10,2,1,6,4931
3,0,2,3,0,0,2,1,249,2,2989,3,5,13,43,4,0,10,13,2036
3,0,2,2,3,0,4,2,204,0,8442,0,6,10,1,5,0,8,6,3959
1,0,0,3,1,0,3,1,206,3,3538,2,3,11,38,8,1,4,2,3736
0,1,3,3,0,0,3,2,288,3,8954,2,1,16,32,3,1,14,2,5390
3,1,2,0,3,0,0,0,191,1,3297,2,2,3,15,20,0,14,0,1775
2,0,1,2,0,0,4,2,192,3,710,0,2,12,43,22,0,11,12,3221
3,0,0,3,0,0,4,0,155,1,5139,0,7,12,0,9,1,14,9,3230
1,0,3,2,3,0,4,1,97,1,5020,2,3,1,47,17,2,8,14,3264
2,0,3,3,0,0,3,0,134,1,8931,1,3,20,23,23,1,0,7,3683
3,1,2,0,2,0,4,2,160,0,5222,3,4,3,33,21,0,8,10,3595
3,0,1,0,0,0,3,0,193,3,4819,2,1,5,2,5,2,7,14,2636
1,1,3,2,0,0,4,2,191,0,2836,0,4,24,13,15,1,2,7,3855
3,0,0,3,3,0,1,2,262,1,7153,0,1,15,46,24,2,5,13,1404
0,1,0,1,0,0,2,1,100,2,1523,2,2,22,42,13,1,2,15,2199
2,1,3,1,0,0,4,2,166,1,8474,3,4,9,28,21,1,7,11,5072
0,1,0,1,1,0,2,0,164,2,9025,3,2,24,50,16,2,7,13,2894
2,1,0,3,2,0,4,1,292,1,7908,1,7,22,8,6,1,3,5,5034
1,0,3,3,2,0,0,2,201,1,6338,3,2,1,36,23,0,0,12,3087
1,1,3,0,3,0,3,0,67,1,6848,0,3,5,30,9,1,3,6,3557
0,0,0,2,1,0,1,2,280,1,9060,0,2,13,13,5,2,6,8,727
1,1,2,0,0,0,2,1,91,1,1633,0,5,1,10,21,2,1,6,2551
1,0,3,3,1,0,1,0,166,0,9649,0,5,19,35,0,1,12,1,2181
1,0,1,2,3,0,1,2,71,2,4078,3,4,8,49,13,2,6,6,1505
2,1,2,3,3,0,1,0,93,0,2071,3,3,2,44,10,0,9,6,2108
3,1,0,0,2,0,4,0,165,1,9910,0,3,15,16,16,2,14,13,4786
0,1,2,0,1,0,0,1,150,1,5191,0,5,7,0,2,2,2,8,2436
1,1,0,2,2,0,3,1,73,0,1251,2,4,17,25,21,2,15,1,3077
0,1,2,0,3,0,0,1,266,0,9087,0,5,2,42,8,0,5,1,4767
0,1,0,2,3,0,4,1,243,0,8711,2,3,20,11,3,0,4,5,5108
1,1,0,3,2,0,2,0,56,1,5885,3,2,13,1,21,1,10,14,2107
1,1,1,0,2,0,3,1,297,0,4707,2,1,0,40,7,2,2,4,4005
2,0,3,1,2,0,4,0,53,1,6478,0,5,20,50,16,0,5,14,4070
2,1,1,0,0,0,1,0,253,2,658,3,4,9,22,16,0,5,3,1707
1,0,2,0,1,0,3,0,260,1,4360,0,7,21,48,4,0,13,3,3152
2,0,0,1,1,0,1,1,169,1,6544,0,7,7,22,13,2,10,14,1761
1,0,3,1,3,0,1,1,139,3,4460,1,3,8,50,17,1,2,8,3070
2,0,1,3,3,0,3,2,273,3,720,2,2,15,47,6,2,12,13,2902
3,0,1,2,2,0,1,2,86,0,4842,0,6,18,27,24,0,3,0,1979
3,1,0,2,0,0,1,1,209,2,9989,2,4,9,25,21,1,7,12,1844
2,0,2,2,1,0,0,1,230,0,4335,1,2,5,40,15,0,13,4,2831
3,0,2,2,3,0,1,1,67,2,260,2,5,20,10,6,2,6,5,881
2,1,0,0,0,0,3,0,158,2,8805,3,3,0,12,3,1,3,14,3948
1,0,1,1,2,0,3,2,239,0,4598,3,1,19,25,20,0,8,0,3078
0,1,0,2,3,0,3,2,284,0,9339,0,1,7,3,12,1,14,5,4527
0,1,3,1,1,0,3,2,257,3,2690,2,4,7,36,0,2,14,6,3365
2,1,2,1,3,0,0,0,70,1,8477,1,7,3,17,17,2,8,11,4021
2,0,2,2,0,0,3,2,258,0,7644,2,6,12,15,9,1,9,5,4028
3,1,3,3,0,0,4,0,125,0,5876,0,7,14,35,8,2,8,13,4926
2,1,1,1,2,0,0,0,132,3,8841,0,7,24,37,7,1,6,5,5571
1,1,2,3,3,0,3,0,274,3,9439,1,3,9,32,20,2,6,1,6067
3,1,0,0,0,0,0,1,161,1,8956,2,5,1,12,9,2,12,11,3579
1,0,2,1,0,0,0,1,156,2,4250,0,5,6,22,17,1,12,11,3294
0,1,3,1,2,0,3,1,256,1,2742,0,7,15,13,2,0,9,1,2630
1,1,2,1,3,0,3,0,80,0,624,1,6,22,13,10,0,13,10,2647
0,0,2,3,3,0,1,1,116,1,4413,2,2,14,20,20,2,14,1,1084
1,1,0,0,1,0,1,1,271,0,3149,0,7,11,18,24,2,2,15,3130
3,1,1,1,1,0,1,2,158,2,7037,3,2,11,5,3,1,12,14,697
2,0,1,3,2,0,4,0,267,2,3199,2,5,0,34,4,0,7,8,2659
3,1,1,2,1,0,1,2,158,1,2200,0,7,10,25,11,1,5,11,1570
3,1,0,1,1,0,1,0,68,2,9691,0,5,1,50,19,0,5,14,1656
0,0,3,1,3,0,1,2,113,2,6943,3,2,12,6,12,2,5,9,712
3,0,2,0,2,0,1,2,147,3,9543,1,1,16,2,8,1,10,5,1640
2,1,1,1,1,0,4,0,162,0,5254,1,1,9,22,9,0,12,2,3786
0,1,1,0,1,0,1,0,170,1,2157,1,4,23,42,12,0,14,0,1594
3,0,1,0,2,0,4,1,239,2,6343,2,4,24,36,8,2,15,10,3508
0,1,1,1,2,0,3,0,120,0,4098,3,7,0,21,6,1,15,13,3144
0,0,2,0,3,0,1,2,128,2,783,1,5,10,32,17,1,9,10,1655
1,1,2,2,3,0,4,0,186,1,8096,2,5,11,22,23,1,6,4,4954
1,1,3,1,0,0,2,0,57,2,6134,2,4,1,8,2,2,14,4,2788
1,1,0,1,2,0,4,2,112,2,7768,2,3,4,3,12,1,14,3,5128
2,1,2,1,2,0,4,2,75,0,2737,2,4,17,2,22,2,0,8,2862
1,1,1,2,0,0,0,2,163,0,9777,2,6,15,14,3,0,3,14,5284
0,0,0,1,0,0,3,0,188,0,9888,2,4,0,41,5,2,12,11,4578
1,1,3,3,1,0,2,1,237,3,5268,0,4,18,7,17,2,1,11,4367
3,1,3,1,2,0,2,2,269,0,3033,1,2,2,11,12,2,4,12,2017
0,1,3,0,2,0,3,2,258,1,6736,2,4,9,34,21,2,8,13,3226
0,0,0,1,0,0,1,1,76,2,3392,2,4,14,15,7,2,0,6,1283
3,0,1,1,0,0,3,0,113,3,304,2,4,24,33,14,1,3,5,2283
1,1,3,2,0,0,3,0,295,2,6637,0,4,2,6,2,2,12,11,4036
0,1,0,2,2,0,0,2,242,1,2721,0,7,22,36,22,0,9,14,3106
1,0,1,3,2,0,1,1,77,0,3540,1,2,24,45,23,0,8,6,2230
2,0,2,2,1,0,0,1,99,0,5772,0,1,24,39,15,1,15,1,3139
2,1,0,3,3,0,4,0,195,2,84,1,7,15,2,21,0,9,5,1962
0,1,0,3,1,0,1,1,117,1,2930,3,6,12,0,20,0,1,9,995
1,1,0,0,3,0,0,1,143,1,4986,2,7,13,22,22,0,12,0,3592
0,0,2,0,2,0,1,0,178,3,357,0,3,21,28,11,2,1,4,2287
0,1,0,1,3,0,2,2,240,0,4087,0,5,24,47,5,1,3,14,3396
0,0,0,1,2,0,1,2,244,2,6420,2,2,18,27,7,0,8,13,1310
1,1,1,1,2,0,4,2,231,1,4269,2,2,23,29,16,2,7,5,3336
1,1,2,0,1,0,3,0,61,0,353,1,4,0,9,6,2,13,11,1844
1,0,2,0,0,0,0,2,175,2,5959,0,6,23,27,13,1,14,6,3911
1,0,0,2,2,0,2,0,145,1,4532,0,4,7,10,13,0,10,7,2369
2,1,2,3,2,0,0,0,260,0,3152,2,1,11,34,2,2,3,8,2740
0,1,3,3,1,0,3,0,220,1,9839,1,6,20,34,12,0,13,14,4083
0,1,0,0,1,0,2,0,283,2,8386,1,7,6,16,8,1,11,9,3056
1,1,0,1,0,0,4,2,126,0,1413,2,5,15,7,9,0,10,6,2957
3,0,2,1,3,0,1,0,54,1,1835,2,2,22,49,9,2,11,9,992
1,1,1,0,1,0,1,0,200,0,4320,3,6,3,13,22,2,8,12,1610
2,0,3,2,1,0,1,2,126,2,1718,1,2,4,14,16,2,8,7,794
0,0,2,0,2,0,4,2,187,2,6117,1,2,16,47,10,2,12,7,3380
3,0,1,3,1,0,3,0,234,3,1406,0,7,0,21,15,1,15,10,3050
2,1,3,3,0,0,1,1,53,1,6296,2,3,10,17,1,2,14,9,1452
1,0,0,1,2,0,0,1,235,0,4812,0,1,6,19,17,0,0,7,3286
